Global Sıra,İlçe,Klinik Adı,Mahalle,Adres,Telefon,Yorum Sayısı,Puan,Tip/Özellik,Eve Kuş Uçuşu (km),Ziyaret Tarihi,Temsilci,Görüşülen Hekim,Durum,Sipariş,Notlar
164,Çankaya-A Batı,Fildent ADSP Yaşamkent,,"Yaşamkent, 3250 Cd. Ankabatı 11/108",0312 217 01 00,531,4.9,MEGA LEAD,11.7,,,,,,
165,Çankaya-A Batı,Dental Company,,"Yaşamkent, 3045. Sk. No:6",0312 242 24 42,253,5.0,HOT LEAD,12,,,,,,
166,Çankaya-A Batı,Moondent Yaşamkent,,"Yaşamkent, 3296. Cd. Gözüm Park 2/D",0312 235 77 79,144,4.9,,12,,,,,,
167,Çankaya-A Batı,Dr. Dt. Çiğdem Şentürk Ürer (Moondent),,"Yaşamkent, 3296. Cd.",0312 235 77 79,13,5.0,,12,,,,,,
168,Çankaya-A Batı,Dt. Uygar Ürer (Moondent),,"Yaşamkent, 3296. Cd.",0312 235 77 79,10,5.0,,12,,,,,,
169,Çankaya-A Batı,Dental Company,,"Yaşamkent, 3045. Sk. No:6",0312 242 24 42,253,5.0,HOT LEAD,12.3,,,,,,
170,Çankaya-A Batı,Karina Dent,,"Yaşamkent, 3222. Cd. Karina Plaza 2R/25",0312 217 17 05,17,4.8,,12.2,,,,,,
171,Çankaya-A Batı,StyleDent Özel Yaşamkent ADSP,,"Yaşamkent, 3158. Cd. No:71",0312 217 64 54,356,4.9,HOT LEAD,12.5,,,,,,
172,Çankaya-A Batı,Art&Smile Dental Clinic,,"Yaşamkent, 3158. Cd. 32C/6",0312 217 20 22,279,5.0,HOT LEAD,12.5,,,,,,
173,Çankaya-A Batı,Nice Dent ADSP,,"Yaşamkent, 3158. Cd. No:41/1",0532 432 64 23,31,5.0,,12.6,,,,,,
174,Çankaya-A Batı,StyleDent Özel Yaşamkent Diş Polikliniği,,"Yaşamkent, 3158. Cd. no:71",0312 217 64 54,356,4.9,MEGA LEAD,12.8,,,,,,
175,Çankaya-A Batı,Dr. Dt. Çiğdem Şentürk Ürer,,"Yaşamkent, 3296. Cad. Gözüm Park No:2/D",0312 235 70 00,13,5.0,,13.5,,,,,,
176,Çankaya-A Batı,Viradent ADSP Yaşamkent,,"Yaşamkent, 3250. Cd. No:26 B D:C",0552 825 51 24,87,5.0,,13.6,,,,,,
177,Çankaya-A Batı,Fildent ADSP (Çayyolu/Yaşamkent),,"Yaşamkent, 3250 Cd Ankabatı No:11 D:108",0312 217 01 00,531,4.9,MEGA LEAD,12.9,,,,,,
178,Çankaya-A Batı,Wind Dent Çayyolu Diş Kliniği,,"Alacaatlı, 3408. Sk. Yaşamkule No:2M D:135",0542 205 42 92,123,4.8,HOT LEAD,14.7,,,,,,
179,Çankaya-A Batı,Dr. Dt. Fatih Rasim,,"Alacaatlı, Şht. Eren Bülbül Cd. 45E/5",0535 970 60 18,40,5.0,,13.4,,,,,,
180,Çankaya-A Batı,Dt. Ömür Türeli,,"Alacaatlı, Şht. Eren Bülbül Cd. 45C/4",0530 037 01 20,33,5.0,,13.4,,,,,,
181,Çankaya-A Batı,Drn Dental ADSP,,"Alacaatlı, Mehmet Rifat Börekçi Sierra Yaşamkent 35B/C",0501 037 63 76,44,5.0,,12.6,,,,,,
182,Çankaya-A Batı,Dt. Ahmet Özgür (Drn),,"Alacaatlı, Mehmet Rifat Börekçi 35B/C",0501 037 63 76,3,5.0,,12.6,,,,,,
183,Çankaya-A Batı,Astrodent ADSP,,"Alacaatlı, Beyler Cd. 36/17",0554 584 33 24,41,4.9,,12.4,,,,,,
184,Çankaya-A Batı,Karaer Dent Çayyolu ADSP,,"Prof. Dr. Ahmet Taner Kışlalı, Anamur Sk. No:4",0555 227 03 12,0,-,YENİ AÇILDI,12.8,,,,,,
185,Çankaya-A Batı,Dr. Dt. Aysun Coşkun Keşoğlu,,"ATK, Konsept Çayyolu, 2715. Sk. No:2/3",,2,5.0,,12.4,,,,,,
186,Çankaya-A Batı,Hospitadent Ankara Diş Hastanesi,,"Prof. Dr. Ahmet Taner Kışlalı, Alacaatlı Cd. No:3",0312 468 41 44,356,4.8,HOT LEAD,12.4,,,,,,
187,Çankaya-A Batı,Dent Ala Çayyolu,,"Prof. Dr. Ahmet Taner Kışlalı, Alacaatlı Cd. 14/18",0547 360 06 06,36,5.0,,12.2,,,,,,
188,Çankaya-A Batı,Uzm. Dt. Tuğba Kademoğlu (Dent Ala),,"Prof. Dr. Ahmet Taner Kışlalı, Alacaatlı Cd. 14/18",0541 339 47 48,38,5.0,UZMAN,12.2,,,,,,
189,Çankaya-A Batı,dentapol clinics Çayyolu,,Alacaatlı Cd. Mercan İş Merkezi C3,0850 259 04 44,58,5.0,,12.1,,,,,,
190,Çankaya-A Batı,Özel Dent Trio ADSP,,"Prof. Dr. Ahmet Taner Kışlalı, 2864. Cd. 34/3",0312 502 42 22,87,4.8,,11.9,,,,,,
191,Çankaya-A Batı,Conceptdent ADSP,,"Prof. Dr. Ahmet Taner Kışlalı, 2715. Sk. Konsept Villaları No:2-7/B",0312 240 32 40,58,4.3,,11.7,,,,,,
192,Çankaya-A Batı,Dr. Dt. Aysun Coşkun Keşoğlu,,"Prof. Dr. Ahmet Taner Kışlalı, Konsept 2715. Sk. 2/3",,2,5.0,,11.7,,,,,,
193,Çankaya-A Batı,Klinik Çayyolu,,"Prof. Dr. Ahmet Taner Kışlalı, 2715. Sk. Konsept İş Merkezi D:2/3",0530 404 29 93,44,4.8,,11.7,,,,,,
194,Çankaya-A Batı,Uzm. Dt. Duygu Naneci (Ortodonti),,"Prof. Dr. Ahmet Taner Kışlalı, 2715 Sk. Konsept No:2 D:3",0530 404 29 93,6,5.0,UZMAN,11.7,,,,,,
195,Çankaya-A Batı,Dt. Kadir Anıl Naneci,,Alacaatlı Cd. Konsept İş Merkezi No:2/3,0312 240 85 56,4,5.0,,11.7,,,,,,
196,Çankaya-A Batı,Çocuk Dişçim Çayyolu (Dr. Sezgi Şenol),,"Prof. Dr. Ahmet Taner Kışlalı, 2812. Cd. No:3",0544 810 55 65,116,4.6,UZMAN (Pedodonti),12,,,,,,
197,Çankaya-A Batı,Uzm. Dr. Serkan Dadakoğlu,,"Koru, Ahmet Taner Kışlalı Cd. 4/4",0850 333 8344,6,5.0,UZMAN,11.1,,,,,,
198,Çankaya-A Batı,Dr. Dt. Özge Batmaz (Ortodonti),,"Koru, Ahmet Taner Kışlalı 4/L D:4",0850 333 8344,7,4.4,UZMAN,11.1,,,,,,
199,Çankaya-A Batı,Dentium Oral Health,,"Koru, Ahmet Taner Kışlalı Cd. 4/L",0543 240 41 95,125,4.5,,11.1,,,,,,
200,Çankaya-A Batı,Dentium Oral Health Clinic,,"Koru, North Star Plaza, Ahmet Taner Kışlalı Cd. D:4/L",0543 240 41 95,125,4.5,,10.8,,,,,,
201,Çankaya-A Batı,Dr. Yasin Yıldız,,"Çayyolu, 2673. Cd. Gold N State No:38/51",0312 235 80 32,123,5.0,,10.6,,,,,,
202,Çankaya-A Batı,Dt. Sema Çetin / Santra ADSP,,"Çayyolu, 2675. Sk. 2BA",0543 726 87 20,38,4.6,,10.6,,,,,,
203,Çankaya-A Batı,Dentalde Çayyolu ADSP,,"Çayyolu, Doğan Taşdelen Blv. 158/1",0532 745 59 80,10,5.0,,10.6,,,,,,
204,Çankaya-A Batı,Uzm. Dt. Selim Han Türer (Endodonti),,"Çayyolu, Doğan Taşdelen Blv. 134/1",0540 440 52 02,89,5.0,UZMAN,10.5,,,,,,
205,Çankaya-A Batı,Diş Hekimi Sema Çetin,,"Çayyolu, 2675. Elit Blok Sokak no:2BA",0543 726 87 20,19,5.0,,10.9,,,,,,
206,Çankaya-A Batı,Dr. Dt. Esat Başol (Protez),,"Ümit, 2512. Sk. Oranj Home Office No:1/46",0530 389 24 60,70,4.9,UZMAN,10.1,,,,,,
207,Çankaya-A Batı,Özel Dental Ank Ümitköy (24h ekipli),,"Ümitköy, 2510. Cd. No:8",0312 235 40 04,393,4.1,HOT LEAD,10,,,,,,
208,Çankaya-A Batı,Özel Dent Ümitköy ADSP,,"Ümit, 2494/4. Sk. No:7",0545 628 20 21,228,4.9,HOT LEAD,10,,,,,,
209,Çankaya-A Batı,Dentists Songül Mirzaoğlu,,"Ümit, 2494/4. Sk. No:7",0545 628 20 21,101,4.8,,10,,,,,,
210,Çankaya-A Batı,ÖZEL DENTAL ANK Ümitköy ADSM (gece açık),,"Ümit, 2510. Cad. No:8",0312 235 40 04,393,4.1,HOT LEAD (geç saat),9.8,,,,,,
211,Çankaya-A Batı,Özel Candent Ümitköy ADSM,,"Ümit, 2521. Sk. No:14",0530 270 10 74,830,4.9,MEGA LEAD,9.8,,,,,,
212,Çankaya-A Batı,Dr. Dt. Serhat Uyar,,"Ümit, 2526. Sk. No:41/2",,17,5.0,,9.9,,,,,,
213,Çankaya-A Batı,Akademi ADSP (Academy of Oral),,"Ümit, 2494. Sk. No:21",0312 236 12 85,44,4.6,,9.8,,,,,,
214,Çankaya-A Batı,Dr. Dt. Sıla Şahin (Çene Cerrahisi),,"Ümit, 2494. Sk. Çamlıca Bulvar E blok 9",0552 667 27 83,21,5.0,UZMAN,9.7,,,,,,
215,Çankaya-A Batı,Ortodonti Uzm. Dr. Kaya Gökçe Dinçyürek,,"Ümit, 2494. Sk. Çamlıca Bulvar A blok D:5",0312 235 31 36,41,5.0,UZMAN,9.7,,,,,,
216,Çankaya-A Batı,Kent Klinik,,"Mutlukent, Doğan Taşdelen Blv. No:31",0850 305 31 13,142,4.3,,9.8,,,,,,
217,Çankaya-A Batı,Ortodonti Uzm. Beyza Erdemir & Osman Yıldız,,"Mutlukent, 1951. Sk. No:3",0312 235 35 20,48,5.0,UZMAN,9.8,,,,,,
218,Çankaya-A Batı,Diş Hekimi Emine Albayrak Ünlü,,"Mutlukent, Mutluköy Sitesi 1952. Sokak No:3 Ümitköy",0312 271 50 58,6,5.0,,9.7,,,,,,
219,Çankaya-A Batı,Özel Zeynep Yıldırım ADSP,,"Mutlukent, 1963. Sk. 8/1",0507 525 09 02,83,4.9,,9.7,,,,,,
220,Çankaya-A Batı,SANO Dental Clinic (Bekir Sakallı),,"Mutlukent, 1943. Cd. No:5",0312 236 08 08,70,4.9,,9.7,,,,,,
221,Çankaya-A Batı,Ümitköy Özel Zeynep Yıldırım ADSP,,"Mutlukent, 1963. Sk. No:8/1",0507 525 09 02,83,4.9,,9.6,,,,,,
222,Çankaya-A Batı,Umitkoy Oral and Maxillofacial Clinic,,"Mutlukent, 1964. Sk. No:10/1",0541 235 13 28,318,4.8,HOT LEAD (Çene Cer.),9.5,,,,,,
223,Çankaya-A Batı,Uzm. Dt. Murat Dikici (Çene Cerrahisi),,"Mutlukent, 1964. Sk. No:10",0530 169 65 06,214,5.0,HOT LEAD (Uzm.),9.5,,,,,,
224,Çankaya-A Batı,Dr. Dt. Kerem Aras (Protez Uzm.),,"Mutlukent, Ümitköy Kavşağı No:25",0312 241 47 46,36,4.4,UZMAN,9.4,,,,,,
225,Çankaya-A Batı,SANO Dental Clinic (Dr. Bekir Sakallı),,"Mutlukent, Mutluköy Sitesi 1943 cad no:5",0312 236 08 08,70,4.9,,9.9,,,,,,
226,Çankaya-A Batı,Ayda Dent ADSP,,"Ümit, 2467. Sk. 1B/65",0312 502 02 60,73,4.9,,9,,,,,,
227,Çankaya-A Batı,Biz Dental Klinik,,"Ümit, 2467. Sk. Türkyapı Blok 1/B Kat:8 No:20",0546 909 20 80,206,5.0,HOT LEAD,8.9,,,,,,
228,Çankaya-A Batı,Little Smiles ADSP (Pedodonti),,"Mutlukent, Angora Blv. 4/9",0538 218 79 79,27,4.9,UZMAN,11,,,,,,
229,Çankaya-A Batı,Dr. Berk Özoğul (Beysudent),,"Mutlukent, Angora Blv. No:4/11",0312 235 77 01,63,4.8,,11,,,,,,
230,Çankaya-A Batı,Beysudent Diş Polikliniği,,"Mutlukent, Angora Blv. 2015. Cd. No:4/11",0312 235 77 01,270,4.9,HOT LEAD,11.1,,,,,,
231,Çankaya-A Batı,Fordent Diş Kliniği,,"Konutkent, 2967. Sk. No:10",0312 236 01 37,38,4.7,,11.4,,,,,,
232,Çankaya-A Batı,Çayyolu ADSP (Konutkent),,"Konutkent, 2965. Cd. No:10",0312 241 14 13,57,4.1,,11.4,,,,,,
233,Çankaya-A Batı,Uzm. Dr. Dt. Tuğba Çınar Türk (Pedodonti),,"Konutkent, 2945 Cd. Hayal Sitesi 25/2",0546 820 75 35,99,4.8,UZMAN,11.6,,,,,,
234,Çankaya-A Batı,Aries Dental Clinic,,"Konutkent, SMK Tower 3028 Cd. 6/94",0312 512 22 74,33,4.9,,11.7,,,,,,
235,Çankaya-A Batı,Doğa Dental ADSP,,"Beytepe, Ametist Life Hayat Sk. D Blok 1/8/1-2",0312 425 91 91,17,4.5,,12.5,,,,,,
236,Çankaya-A Batı,Enda Dental | Ümitköy Çayyolu,,"Beytepe, Ametist, Kanuni Sultan Süleyman Blv. 5/F",0530 515 30 20,129,5.0,,12.5,,,,,,
237,Çankaya-A Batı,Gürses Dental Beytepe ADSP,,"Beytepe, Kanuni Sultan Süleyman Blv No:18 B/3",0507 944 00 43,323,5.0,MEGA LEAD,12.5,,,,,,
238,Çankaya-A Batı,Ümitköy Diş Hekimi - Dt. Mevlüt Batuhan Öğüt,,"Beytepe, Kanuni Sultan Süleyman Blv No:5/F (Ametist Sitesi)",0530 515 30 20,7,4.4,,12.4,,,,,,
239,Çankaya-A Batı,Gürses Dental Beytepe,,"Beytepe, Kanuni Sultan Süleyman Blv. 18B/3",0507 944 00 43,323,5.0,HOT LEAD,12.7,,,,,,
240,Çankaya-A Batı,Dentakay Diş Kliniği Çayyolu,,"Beytepe, Allora Residence, Kanuni Sultan Süleyman 63/C D:10",0312 440 66 07,108,5.0,,12.9,,,,,,
241,Çankaya-A Batı,MISIROĞLU EXCLUSIVE ADSP,,"Beytepe, 5339. sk. No:9",0532 284 95 87,27,4.9,,13.4,,,,,,
242,Çankaya-A Batı,Erdent Beytepe,,"Beytepe, Kanuni Sultan Süleyman 5365 sokak 1 D:1C",0506 033 06 06,39,5.0,,13.4,,,,,,
243,Çankaya-A Batı,Beytepe ALBA Dent,,"Beytepe, 5388. Sokak 1 C-5",0505 787 80 81,124,4.8,,13.4,,,,,,
244,Çankaya-A Batı,DentGEN Ankara Çayyolu,,"Beytepe, 5388 Sokak 1C/18",0539 580 19 23,31,4.7,,13.4,,,,,,
245,Çankaya-A Batı,Beytepe Ortodonti,,"Beytepe, Mira, Kanuni Sultan Süleyman Blv. 5387. Cd. 15/A/55",0312 577 83 83,68,4.8,UZMAN,13.4,,,,,,
246,Çankaya-A Batı,BC Dental Clinic (Dr. Cansuf),,"Beytepe, Kanuni Sultan Süleyman 5387. Cd. 15A/4",0312 543 70 43,58,4.9,UZMAN (Ortognatik),13.4,,,,,,
247,Çankaya-A Batı,Evrensel ADSP Beytepe,,"Beytepe, Piri Reis Cd. AnkaJob Sitesi No:12",0533 296 65 17,37,5.0,,13.7,,,,,,
248,Çankaya-A Batı,Erdent Beytepe ADSP,,"Beytepe, Kanuni Sultan Süleyman Blv 5365 sk no 1 D:1C",0506 033 06 06,39,5.0,,13.8,,,,,,
249,Çankaya-A Batı,DentGEN Ankara Çayyolu Diş Kliniği,,"Beytepe, 5388 Sokak No:1 C No:18",0539 580 19 23,31,4.7,,13.7,,,,,,
250,Çankaya-A Batı,Beytepe ALBA Dent ADSP,,"Beytepe, 5388. Sokak No:1 C-5",0505 787 80 81,124,4.8,,13.6,,,,,,
251,Çankaya-A Batı,Beytepe Ortodonti (Dr. Doğu Alpat Çiçek),,"Beytepe, 5387. Cad Mira, Kanuni Sultan Süleyman Blv 15/A K:14",0312 577 83 83,68,4.8,UZMAN (Ortodonti),13.5,,,,,,
252,Çankaya-A Batı,Mildent ADSP Beytepe,,"Beytepe, Ertuğrul Gazi Blv Entepe İş Mrk No:2D",0532 514 11 50,56,5.0,,14.9,,,,,,
253,Çankaya-A Batı,Karaer Ağız ve Diş Sağlığı Merkezi,,"Beytepe, 1728. Cad 6-18",0553 772 12 34,82,4.9,,16,,,,,,
254,Çankaya-A Batı,DENT İNCEK ADSP,,Şehit Savcı Mehmet Selim Kiraz Blv. No:260E (İncek),0536 285 05 20,105,4.8,,16.3,,,,,,
255,Çankaya-A Batı,CCLDENT İncek,,"Alacaatlı, Kanuni Sultan Süleyman Blv. Rota İncek 141/AI",0312 514 12 34,64,5.0,,15.7,,,,,,
256,Çankaya-A Batı,Dr. Abdullah Özcan,,"İnfo İncek, Alacaatlı, Kanuni Sultan Süleyman Blv. No:128 Kat:9 A/36",0544 144 74 22,37,5.0,,15.7,,,,,,
257,Çankaya-A Batı,Dent idea İncek,,"İncek, 3610 Sok. No:1/D",0540 512 01 11,39,5.0,,16.9,,,,,,
258,Çankaya-A Batı,CCLDENT İncek/Alacaatlı Diş Kliniği,,"Alacaatlı, Kanuni Sultan Süleyman Blv Rota İncek 141/AI",0312 514 12 34,64,5.0,,17.1,,,,,,
259,Gölbaşı,İncek Dentaltun ADSP,Kızılcaşar/İncek,Bağlar Cd. No:15,0552 222 03 47,416,5.0,Özel - MEGA LEAD,17.7,,,,,,
260,Çankaya-A Batı,İncek Dentaltun ADSP,,"Kızılcaşar, Bağlar Cd. No:15 (Gölbaşı sınırı)",0552 222 03 47,416,5.0,HOT LEAD (sınır),18,,,,,,
261,Gölbaşı,DENT İNCEK ADSP,İncek,Şehit Savcı M. Selim Kiraz Blv No:260E,0536 285 05 20,105,4.8,Özel,18.7,,,,,,
262,Gölbaşı,İNCEK DİŞ KLİNİĞİ,Kızılcaşar/İncek,Başlar Cd. No:1/1 D:3,0506 094 66 96,7,3.9,Özel,18.8,,,,,,
263,Gölbaşı,Denthaus ADSP - Ankara (İncek),Kızılcaşar/İncek,İncek Blv No:406 D:50 (Küme Evleri),0552 822 25 95,250,5.0,Özel - HOT LEAD,17.5,,,,,,
264,Gölbaşı,Estedent ADSP,Karşıyaka,Haymana Yolu Blv. No:136/4,0312 484 44 88,46,4.9,Özel,23.1,,,,,,
265,Gölbaşı,DentaCenter Gölbaşı A.Klinik,Karşıyaka,İlkokul Sk. No:7 D:1,0444 39 21,470,4.9,Özel - MEGA LEAD,23.3,,,,,,
266,Gölbaşı,Bendis ADSP (Gölbaşı/İncek),Gaziosmanpaşa,Ankara Cd. NO:66E,0549 581 20 23,237,4.9,Özel - HOT LEAD,23.7,,,,,,
267,Gölbaşı,Özel Gölbaşı ADSP,Gaziosmanpaşa,Ankara Cd. No:66/A,0552 635 85 86,106,4.6,Özel,23.7,,,,,,
268,Gölbaşı,Diş Hekimi Dr. Burcu Yaluğ,Gaziosmanpaşa,Ankara Cd. 82/5,0312 485 70 20,0,-,Özel,23.8,,,,,,
269,Gölbaşı,Özel Gölbaşı DentADent ADSP,Şafak,914. Sk. (Yapı Kredi yanı),0530 484 53 47,75,3.8,Özel,23.8,,,,,,
270,Gölbaşı,Etkin Diş Kliniği,Gaziosmanpaşa,Ankara Cad. 375. Sok. No:2 D:1-2,0312 484 18 40,33,4.2,Özel,24,,,,,,
271,Gölbaşı,Merve Yöney Diş Kliniği,Bahçelievler,Cumhuriyet Cd. 1A,0554 713 77 27,27,5.0,Özel,24.4,,,,,,
272,Gölbaşı,Gölbaşı Özel Elal Dent ADSP,Segmenler,Oğuz Kağan Usta Cd 115B,0544 373 90 97,135,5.0,Özel,24.6,,,,,,
273,Gölbaşı,Hakan Erdoğan Muayenehanesi,Bahçelievler,281. Cadde no:90/B,0505 680 96 06,18,4.8,Özel,25.2,,,,,,
274,Gölbaşı,Estetik Dent Ağız ve Diş Sağlığı Merkezi,Segmenler,Şht. Abdullah Yıldız Sk. No:41,0505 211 00 11,4,5.0,Özel,24.8,,,,,,
275,Gölbaşı,Özel UZAY ADSP,Segmenler,Cumhuriyet Cd. 146 AB,0533 919 42 22,94,4.5,Özel,25.4,,,,,,
276,Çankaya-D Güney,Dent Oran ADSP,,"Oran, Türk-Japon Vakfı Ferit Recai Ertuğrul Cd No:2 D:h",0312 490 03 00,51,4.2,,20.1,,,,,,
277,Çankaya-D Güney,Uzm. Dr. Dt. Kıvanç Karadayı,,"Oran, Ferit Recai Ertuğrul Cd No:2 D:h (Dent Oran)",0312 490 03 00,1,5.0,UZMAN,20.1,,,,,,
278,Çankaya-D Güney,Dr. Dt. Ahu Güngör Acar (Ortodonti Uzm.),,"Oran, Park Oran Ofis Kudüs Cd. No:10 K:32",0312 491 67 11,26,4.8,UZMAN (Ortodonti),20.4,,,,,,
279,Çankaya-D Güney,Dental Estetik Center (Park Oran),,"Oran, Park Oran Ofis Kudüs Cd. (Dr. Güzin Kirsacoglu)",0312 419 43 56,1126,5.0,MEGA MEGA LEAD,20.4,,,,,,
280,Çankaya-D Güney,Funda Sarıkaya ADSP - Park Oran,,"Oran, Park Oran Ofis No:70, Kudüs Cd. No:1 D:21",0312 911 60 36,144,4.9,HOT LEAD,20.5,,,,,,
281,Çankaya-D Güney,Funda Sarıkaya Ortodonti Uzm.,,"Oran, Park Oran Evleri No:180 T-2",0312 870 14 70,24,4.8,UZMAN (Ortodonti),20.5,,,,,,
282,Çankaya-D Güney,Invisalign Şeffaf Plak Kliniği (Funda Sarıkaya),,"Oran, Park Oran Evleri No:180 T-2",0312 870 14 70,47,4.9,UZMAN (Ortodonti),20.5,,,,,,
283,Çankaya-D Güney,Invisalign Tedavisi - Analiz Dent (Şube),,"Sinpaş Altınoran, İlkbahar Çarşı No:4D",0539 324 70 20,7,5.0,UZMAN (Ortodonti),21.3,,,,,,
284,Çankaya-D Güney,Analiz Dent İlkbahar Çarşı,,"Sinpaş Altınoran, İlkbahar Çarşı No:4D",0553 628 08 28,127,4.9,HOT LEAD,21.7,,,,,,
285,Çankaya-D Güney,Analiz Dent ADSP - İlkbahar Çarşı,,"Sinpaş Altınoran, İlkbahar, Çarşı No:4D",0553 628 08 28,127,4.9,HOT LEAD,21.7,,,,,,
286,Çankaya-D Güney,Dt. Didem Önder,,"İlkbahar, Turan Güneş Blv. 596. Sk. 75/A",0536 575 86 38,3,5.0,,20.8,,,,,,
287,Çankaya-D Güney,Masterdent Diş Kliniği (Prof. Bahadır Giray),,"İlkbahar, 596. Sk. No:75",0312 490 28 18,38,4.2,UZMAN,20.8,,,,,,
288,Çankaya-D Güney,Neşeli Dişler ADSP (Zeliha Bektaş),,"Yukarı Dikmen, Turan Güneş Blv. No:106D (Yıldız Kule)",0532 221 12 88,104,5.0,HOT LEAD,20.6,,,,,,
289,Çankaya-D Güney,Uzm. Dt. Zeliha Bektaş (Ortodonti),,"Yukarı Dikmen, Turan Güneş Blv. Yıldız Kule No:106D",0532 221 12 88,118,5.0,UZMAN (Ortodonti),20.6,,,,,,
290,Çankaya-D Güney,Dentura ADSP (Çene Cer.+Ortodonti+İmplant),,"İlkbahar, Turan Güneş Blv. No:65/A",,168,4.9,HOT LEAD (Çoklu Uzman),20.7,,,,,,
291,Çankaya-D Güney,Diş Hekimi Eylem TOP,,"İlkbahar Mh, Konrad Adenauer Cd 592. Sk. Bulut Apt D:7/1",0532 785 68 67,7,3.9,,20.8,,,,,,
292,Çankaya-D Güney,Diş Hekimi Fatih/Sarah Kundakçı (SL Dental),,"Hilal, Rabindranath Tagore Cd. 78/A",0850 474 8175,19,5.0,,20.5,,,,,,
293,Çankaya-D Güney,Dişhekimi Nihat Yalçın,,"Yıldızevler, Sukarno Cd. No:9/5",0531 236 26 84,68,4.9,,20.5,,,,,,
294,Çankaya-D Güney,Dental Klinik ADSP (Dr. Talal),,"Hilal, Rabindranath Tagore Cd. No:50/B",0312 442 02 82,9,4.8,,20.4,,,,,,
295,Çankaya-D Güney,İPEK DENTAL ADSP,,"Hilal, Rabindranath Tagore Cd. No:50 D:B",0537 512 31 18,32,5.0,,20.4,,,,,,
296,Çankaya-D Güney,Dent Yıldız ADSP,,"Hilal, Rabindranath Tagore Cd. Can Apt No:67/A",0505 630 08 22,131,5.0,HOT LEAD,20.4,,,,,,
297,Çankaya-D Güney,BARIŞ DENT - Diş Hekimi,,"Sancak, Turan Güneş Blv. No:72",0507 695 06 56,2,5.0,,20.5,,,,,,
298,Çankaya-D Güney,i-klinik Ankara ADSP (Dr. İbrahim),,"Yıldızevler, Turan Güneş Blv. Özaltın Apt D:52/A",0505 557 13 14,32,4.3,,20.5,,,,,,
299,Çankaya-D Güney,Diş Hekimi Mehtap Bağdatoğlu,,"Yıldızevler, Cezayir Cd. No:6/3",0545 322 59 26,6,5.0,,20.3,,,,,,
300,Çankaya-D Güney,Özel Dentameda ADSP,,"Yıldızevler, Turan Güneş Blv. Rabindranath Tagore Cd No:26/12",0312 441 63 53,10,4.7,,20.3,,,,,,
301,Çankaya-D Güney,Diş Hekimi (Dudu),,"Sancak, Turan Güneş Blv. D:20",0312 439 16 31,2,5.0,,20.5,,,,,,
302,Çankaya-D Güney,Diş Hekimi Nurşen Işık Gezgin,,"Sancak Mh, 512. Sk. No:1/19",0312 439 40 01,0,-,,20.5,,,,,,
303,Çankaya-D Güney,Dr. Murat Mavili,,"Yıldızevler, Turan Güneş Blv. No:22 D:16",0312 441 69 74,21,4.8,,20.4,,,,,,
304,Çankaya-D Güney,Diş Hekimi Alpay Güzel,,"Yıldızevler, Turan Güneş Blv. 14/6",0535 569 45 28,0,-,,20.4,,,,,,
305,Çankaya-D Güney,Diş Hekimi Ayşe Çam,,"Yıldız Mh, Turan Güneş Blv. 14/14 D:5 (Arslanca İş Merkezi)",0312 439 93 70,7,5.0,,20.4,,,,,,
306,Çankaya-D Güney,Özel HC ADSP (Dr. Arif),,"Yıldızevler, 708. Sk. 20/A",0312 442 40 04,44,4.9,,20.3,,,,,,
307,Çankaya-D Güney,Dr. Dt. Gürkan Erenel Diş Kliniği,,"Yıldızevler, Rabindranath Tagore Cd. No:7 D:75 (Kuzu Kumru Rez.)",0544 406 02 29,37,4.8,,20.1,,,,,,
308,Çankaya-D Güney,Özel Çankaya Hikmet Bozyel ADSM,,"Yıldızevler, Rabindranath Tagore Cd. Yunus Ensari İş Merkezi 10/2",0312 442 20 57,68,4.9,,20,,,,,,
309,Çankaya-D Güney,KLİNİK K&Y ADSP,,"Sancak, Turan Güneş Blv. No:1/A",0532 392 06 59,50,5.0,,20.4,,,,,,
310,Çankaya-D Güney,Özel Dental National ADSP,,"Birlik, Podgoritsa Cd 3/A",0544 496 54 24,67,4.8,,20.8,,,,,,
311,Çankaya-D Güney,Diş Hekimi Rana Kuzu,,"Birlik, Podgoritsa Cd No:22/B",0312 495 66 33,84,4.9,,21,,,,,,
312,Çankaya-D Güney,Dr. Dt. Rana Kuzu,,"Birlik, Podgoritsa Cd No:22/B",0312 495 66 33,84,4.9,,21,,,,,,
313,Çankaya-D Güney,Özel Polat ADSP,,"Birlik, 448. Cd. 75/C",0543 898 50 68,56,5.0,,21.4,,,,,,
314,Çankaya-D Güney,Platinum ADSP Birlik,,"Birlik, 448. Cd. Şht. Sadık Erişen Sk. No:55/2",0312 496 49 61,185,4.9,HOT LEAD,21.4,,,,,,
315,Çankaya-D Güney,Platinum ADSP Ankara (Birlik),,"Birlik, Şht. Sadık Erişen Sk. No:55/2 (448. Cad)",0312 496 49 61,185,4.9,HOT LEAD,21.4,,,,,,
316,Çankaya-D Güney,Dentics,,"Birlik, 468. Sk. No:76",,0,-,,21.1,,,,,,
317,Çankaya-D Güney,Uzm. Dt. Zeynep Türkmen,,"Birlik, 483. Sk. 2/A",,32,5.0,UZMAN,21.6,,,,,,
318,Çankaya-C Merkez,Diş Hekimi Mesut Yalçın,,"Büyükesat, Uğur Mumcu Cd. No:45",0532 625 94 51,7,5.0,,20.2,,,,,,
